Year,Semester,Quiz/Exam,Student ID,Coding Problem,Earned Score,Maximum Score,Distance,Distance Z-score
2013,spring,quiz4,s7fe50145,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,s81792444,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,s830be0cb,FactorialFor,5,5,10.5,2.348931897541867
2013,spring,quiz4,s9d049cf5,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sa6af7077,FactorialFor,5,5,5.925,0.3507418717758093
2013,spring,quiz4,sae45b238,FactorialFor,5,5,8.45,1.453568060859808
2013,spring,quiz4,sb7db06e9,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sbb84155e,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sbb8e5f35,FactorialFor,5,5,8.525,1.486325274396957
2013,spring,quiz4,sbcd8d614,FactorialFor,5,5,5.65,0.230632088806265
2013,spring,quiz4,sc07e0f8a,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sc34ad8cd,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sc6713607,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sca85c16d,FactorialFor,5,5,4.825,-0.1296972601023683
2013,spring,quiz4,scb538af7,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sd51cb744,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sdb4c4aed,FactorialFor,5,5,4.825,-0.1296972601023683
2013,spring,quiz4,sddb081b4,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sea449dee,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sed47133e,FactorialFor,5,5,3.325,-0.7848415308453381
2013,spring,quiz4,sef55ce71,FactorialFor,5,5,6.075,0.4162562988501064
2013,spring,quiz4,sf0f03a1e,FactorialFor,5,5,4.15,-0.4245121819367046
2013,spring,quiz4,sfed34002,FactorialFor,5,5,7.2,0.9076145019073336
2013,spring,quiz4,s23f81012,FactorialWhile,5,5,7.125,0.7143744580775986
2013,spring,quiz4,s29d1098c,FactorialWhile,5,5,6.583333333333333,0.4389631901354637
2013,spring,quiz4,s2ccaa61c,FactorialWhile,5,5,4.375,-0.6838673637824695
2013,spring,quiz4,s2f86ca57,FactorialWhile,5,5,6.0,0.1423664400439343
2013,spring,quiz4,s407c0b0f,FactorialWhile,5,5,10.041666666666666,2.1973582085352463
2013,spring,quiz4,s483bc3e,FactorialWhile,5,5,4.375,-0.6838673637824695
2013,spring,quiz4,s568e6c7b,FactorialWhile,5,5,3.875,-0.9380931495752092
2013,spring,quiz4,s57c38b49,FactorialWhile,5,5,8.625,1.4770518154558174
2013,spring,quiz4,s5abb4733,FactorialWhile,5,5,6.0,0.1423664400439343
2013,spring,quiz4,s5fd2eeb1,FactorialWhile,5,5,3.875,-0.9380931495752092
