Student ID,Distance Z-score,Earned Score,Maximum Score,Overall Percent
sb63d1182,2.1411587089300816,6,30,0.2
sb6c9f56a,-0.3195133310334855,112,145,0.7724137931034483
sb7db06e9,-0.33979002588268686,84,99,0.8484848484848485
sbb84155e,-0.2871401533379668,23,41,0.5609756097560976
sbb871743,-0.11114448981299846,24,50,0.48
sbb8e5f35,1.2502756255242542,44,89,0.4943820224719101
sbc1c354a,-0.026357080408877853,14,14,1.0
sbcd8d614,0.8210911322882972,46,90,0.5111111111111111
sbe8b1628,0.09285524670798405,164,204,0.803921568627451
sbf1914d4,-0.026357080408877853,10,14,0.7142857142857143
sc07e0f8a,0.05964520212519073,53,73,0.726027397260274
sc27f5411,-0.026357080408877853,14,14,1.0
sc2ea6ca8,0.3159606443776282,73,98,0.7448979591836735
sc34ad8cd,-0.40537862778244593,78,98,0.7959183673469388
sc65dd368,-0.026357080408877853,14,14,1.0
sc6713607,-0.034449013933480266,45,77,0.5844155844155844
sc7f05696,-0.7405777903926237,0,5,0.0
sca85c16d,0.013349017331322217,64,105,0.6095238095238096
scad74c3a,0.39690064778970724,136,145,0.9379310344827586
scb538af7,-0.28687657207974615,84,93,0.9032258064516129
scc349e6b,-0.3957829394028599,10,10,1.0
scd08cc6c,-0.026357080408877853,3,14,0.21428571428571427
sce46f0a0,-0.026357080408877853,10,14,0.7142857142857143
sce9b742f,0.09233497990024479,108,122,0.8852459016393442
scf590fea,-0.026357080408877853,10,14,0.7142857142857143
sd2c29562,-0.33428893120706804,99,135,0.7333333333333333
sd51cb744,-0.5218958485644861,101,105,0.9619047619047619
sd5a90a5d,-0.28025619269788393,9,12,0.75
sd9363351,-0.5906784471013788,76,89,0.8539325842696629
sd9c4ec42,0.10023041856177098,89,115,0.7739130434782608
sdb4c4aed,-0.40267233908892236,95,105,0.9047619047619048
sdd6461af,-0.026357080408877853,14,14,1.0
sddb081b4,-0.06217876623296708,73,94,0.776595744680851
sddd4a271,-0.3582134694268279,29,32,0.90625
sde957452,0.8891867290408217,20,34,0.5882352941176471
sdf42f794,0.7124946375790863,3,4,0.75
sdf4854e7,1.020275082014334,15,45,0.3333333333333333
se4ab67a5,0.7124946375790863,0,4,0.0
se6b34a87,-0.026357080408877853,13,14,0.9285714285714286
se6c844d8,-0.026357080408877853,14,14,1.0
se6e4a2eb,-0.026357080408877853,13,14,0.9285714285714286
sea449dee,-0.2916944421547662,64,89,0.7191011235955056
sea639169,-0.32736703638547676,120,140,0.8571428571428571
sed334770,-0.02240420063249843,64,116,0.5517241379310345
sed47133e,-0.39389256121574695,101,105,0.9619047619047619
seeeebe19,0.2863406058764207,81,120,0.675
sef2a3ebc,0.19013172431702272,70,123,0.5691056910569106
sef55ce71,-0.3659303035063013,103,105,0.9809523809523809
sefe1db47,-0.026357080408877853,14,14,1.0
sf0f03a1e,-0.4294702367216866,95,105,0.9047619047619048
sf1424e10,-0.07948441763258277,90,125,0.72
sf39dba78,-0.026357080408877853,9,14,0.6428571428571429
sf3e641eb,-0.168708075210543,81,95,0.8526315789473684
sf6f33c5f,-0.030514234328131835,69,99,0.696969696969697
sf8792d36,-0.1435139642192319,17,31,0.5483870967741935
sf940327c,-0.026357080408877853,14,14,1.0
sfb7d4ca7,-0.060475672501828205,72,82,0.8780487804878049
sfbb08d7,-0.026357080408877853,13,14,0.9285714285714286
sfc3bcc7d,0.13308002497858867,110,140,0.7857142857142857
sfe2341ab,-0.5087779585551783,80,99,0.8080808080808081
sfed34002,-0.2300701661039058,100,105,0.9523809523809523
sfee6ffa8,-0.264207334376793,77,133,0.5789473684210527
